Date,Status,X,Y,Z,Source,Time,SessionTime,RPM,Speed,nGear,Throttle,Brake,DRS,Distance
2020-08-01 14:06:22.301,OnTrack,-1672.0,1322.0,1964.0,pos,0 days 00:00:00,0 days 01:21:22.262000,11125.0,273.0,7,100.0,False,8,
2020-08-01 14:06:22.462,OnTrack,-1595.9997983937685,1417.939401421938,1964.7555096871258,car,0 days 00:00:00.161000,0 days 01:21:22.423000,11125.0,273.0,7,100.0,False,8,12.815833333333334
2020-08-01 14:06:22.521,OnTrack,-1568.0,1453.0,1965.0,pos,0 days 00:00:00.220000,0 days 01:21:22.482000,11170.7248512,273.7374976,7,100.0,False,8,17.304647718733754
2020-08-01 14:06:22.702,OnTrack,-1481.6496274355304,1560.5359553972103,1965.7422887045273,car,0 days 00:00:00.401000,0 days 01:21:22.663000,11311.0,276.0,7,100.0,False,8,31.215833333333332
2020-08-01 14:06:22.741,OnTrack,-1463.0,1584.0,1966.0,pos,0 days 00:00:00.440000,0 days 01:21:22.702000,11329.687408,276.812496,7,100.0,False,8,34.24097539027525
2020-08-01 14:06:22.942,OnTrack,-1366.9998433497713,1707.2206117206883,1967.8634293782227,car,0 days 00:00:00.641000,0 days 01:21:22.903000,11426.0,281.0,7,100.0,False,8,49.94916666666667
2020-08-01 14:06:22.961,OnTrack,-1358.0,1719.0,1968.0,pos,0 days 00:00:00.660000,0 days 01:21:22.922000,11436.133230933334,281.15833173333334,7,100.0,False,8,51.43789770906415
2020-08-01 14:06:23.181,OnTrack,-1255.0,1857.0,1969.0,pos,0 days 00:00:00.880000,0 days 01:21:23.142000,11553.466564266666,282.99166506666666,7,100.0,False,8,68.73666625687252
2020-08-01 14:06:23.182,OnTrack,-1254.5355759799802,1857.6375808815108,1969.0063829104422,car,0 days 00:00:00.881000,0 days 01:21:23.143000,11554.0,283.0,7,100.0,False,8,68.81583333333333
2020-08-01 14:06:23.401,OnTrack,-1153.0,1999.0,1971.0,pos,0 days 00:00:01.100000,0 days 01:21:23.362000,11638.510321795273,286.6348525503343,7,100.0,False,8,86.26811213498178
2020-08-01 14:06:23.423,OnTrack,-1142.6892992548649,2013.206433391226,1971.208497963479,car,0 days 00:00:01.122000,0 days 01:21:23.384000,11647.0,287.0,7,100.0,False,8,88.02888888888887
2020-08-01 14:06:23.621,OnTrack,-1049.0,2141.0,1973.0,pos,0 days 00:00:01.320000,0 days 01:21:23.582000,11695.674968533333,288.64999893333334,7,100.0,False,8,103.91553627568126
2020-08-01 14:06:23.663,OnTrack,-1029.1370590845827,2168.3516583733726,1973.383663022524,car,0 days 00:00:01.362000,0 days 01:21:23.624000,11706.0,289.0,7,100.0,False,8,107.29555555555555
2020-08-01 14:06:23.841,OnTrack,-945.0,2285.0,1975.0,pos,0 days 00:00:01.540000,0 days 01:21:23.802000,11831.341576533334,290.48333226666665,7,100.0,False,8,121.66492808032164
2020-08-01 14:06:23.903,OnTrack,-915.5356868999409,2325.5422057497217,1975.5233441288992,car,0 days 00:00:01.602000,0 days 01:21:23.864000,11875.0,291.0,7,100.0,False,8,126.69555555555556
2020-08-01 14:06:24.061,OnTrack,-840.0,2429.0,1977.0,pos,0 days 00:00:01.760000,0 days 01:21:24.022000,11888.166656,292.9749984,7,100.0,False,8,139.58470532679112
2020-08-01 14:06:24.143,OnTrack,-800.5391515938309,2483.2592425622906,1978.08884823155,car,0 days 00:00:01.842000,0 days 01:21:24.104000,11895.0,294.0,7,100.0,False,8,146.29555555555555
2020-08-01 14:06:24.281,OnTrack,-734.0,2575.0,1980.0,pos,0 days 00:00:01.980000,0 days 01:21:24.242000,11895.0,294.57499946666667,7,100.0,False,8,157.60442973120198
2020-08-01 14:06:24.383,OnTrack,-685.030069830698,2642.540834381175,1980.941766520583,car,0 days 00:00:02.082000,0 days 01:21:24.344000,11895.0,295.0,7,100.0,False,8,165.9622222222222
2020-08-01 14:06:24.501,OnTrack,-629.0,2721.0,1982.0,pos,0 days 00:00:02.200000,0 days 01:21:24.462000,11167.8257888,295.0,7,100.0,False,8,175.61912653642128
2020-08-01 14:06:24.623,OnTrack,-572.2577971649529,2803.2969600849874,1983.6849937133395,car,0 days 00:00:02.322000,0 days 01:21:24.584000,10416.0,295.0,8,100.0,False,8,185.6288888888889
2020-08-01 14:06:24.721,OnTrack,-527.0,2870.0,1985.0,pos,0 days 00:00:02.420000,0 days 01:21:24.682000,10541.7665024,296.2249984,8,100.0,False,8,193.7178507644038
2020-08-01 14:06:24.863,OnTrack,-461.20949837226055,2967.239629430956,1986.260046189304,car,0 days 00:00:02.562000,0 days 01:21:24.824000,10724.0,298.0,8,100.0,False,8,205.49555555555554
2020-08-01 14:06:24.941,OnTrack,-425.0,3021.0,1987.0,pos,0 days 00:00:02.640000,0 days 01:21:24.902000,10737.928548571428,298.55714194285713,8,100.0,False,8,211.98058932379396
2020-08-01 14:06:25.143,OnTrack,-331.2876183813681,3161.4204440462886,1989.7392562016016,car,0 days 00:00:02.842000,0 days 01:21:25.104000,10774.0,300.0,8,100.0,False,8,228.82888888888888
2020-08-01 14:06:25.161,OnTrack,-323.0,3174.0,1990.0,pos,0 days 00:00:02.860000,0 days 01:21:25.122000,10778.349969066667,300.14999893333334,8,100.0,False,8,230.33436296223425
2020-08-01 14:06:25.381,OnTrack,-222.0,3328.0,1993.0,pos,0 days 00:00:03.080000,0 days 01:21:25.342000,10831.516635733333,301.98333226666665,8,100.0,False,8,248.79384007260583
2020-08-01 14:06:25.383,OnTrack,-221.0669737780156,3329.3920181832773,1993.022783178999,car,0 days 00:00:03.082000,0 days 01:21:25.344000,10832.0,302.0,8,100.0,False,8,248.96222222222218
